Deploy Date,Deploy Time,Retrieve Date,Retrieve Time,Sonde Model Number (Nickname),pH Model Number,rpDO Model Number,roxDO Model Number,Turb Model Number,Cond Model Number,Chloro Model Number,EXO Model Number
01/14/2025,11:15,02/11/2025,17:00,EXO2 (Egret),599702,,599100-01,599101-01,599827,599103-01,599090-01
02/11/2025,17:15,03/04/2025,13:00,EXO2 (Barbossa),599702,,599100-01,599101-01,599827,599103-01,599090-01
03/04/2025,13:15,03/26/2025,07:45,EXO2 (Egret),577602,,599100-01,599101-01,599827,599103-01,599090-01
03/26/2025,08:00,04/09/2025,07:30,EXO2 (Barbossa),599702,,599100-01,599101-01,599827,599103-01,599090-01
04/09/2025,07:45,05/02/2025,10:00,EXO2 (Egret),577602,,599100-01,599101-01,599827,599103-01,599090-01
05/02/2025,10:15,05/13/2025,12:00,EXO2 (Barbossa),599702,,599100-01,599101-01,599827,599103-01,599090-01
05/13/2025,12:15,05/28/2025,10:30,EXO2 (Egret),577602,,599100-01,599101-01,599827,599103-01,599090-01
05/28/2025,10:45,06/10/2025,09:15,EXO2 (Barbossa),599702,,599100-01,599101-01,599827,599103-01,599090-01
06/10/2025,09:30,06/26/2025,12:30,EXO2 (Egret),577602,,599100-01,599101-01,599827,599103-01,599090-01
06/26/2025,12:45,07/09/2025,12:15,EXO2 (Barbossa),599702,,599100-01,599101-01,599827,599103-01,599090-01
07/09/2025,12:30,07/25/2025,10:00,EXO2 (Egret),577602,,599100-01,599101-01,599827,599103-01,599090-01
07/25/2025,10:15,08/06/2025,07:30,EXO2 (Barbossa),599702,,599100-01,599101-01,599827,599103-01,599090-01
08/06/2025,07:45,08/21/2025,10:45,EXO2 (Egret),577602,,599100-01,599101-01,599827,599103-01,599090-01
08/21/2025,11:00,09/08/2025,09:45,EXO2 (Barbossa),599702,,599100-01,599101-01,599827,599103-01,599090-01
09/08/2025,10:00,09/25/2025,12:45,EXO2 (Egret),577602,,599100-01,599101-01,599827,599103-01,599090-01
09/25/2025,13:00,10/07/2025,10:00,EXO2 (Barbossa),599702,,599100-01,599101-01,599827,599103-01,599090-01
10/07/2025,10:15,,,EXO2 (Egret),577602,,599100-01,599101-01,599827,599103-01,599090-01

Deploy Date,Sonde Nickname,SpCond,RPDO1,RPDO2,ROXDO1,ROXDO2,pH7,pH10,pH4,Turb,Turb,Depth,Level,CHL(0),CHL(118)
01/14/2025,Egret,49.816(50.0),,,99.8,99.6,7.33,,,0.35(0.0),(124.0),0.016(0.026),(0.0),0.01,
02/11/2025,Barbossa,50.231(50.0),,,100.2,100.2,7.08,10.07,4.04,0.07(0.0),(124.0),-0.088(-0.056),(0.0),-0.02,
03/04/2025,Egret,49.981(50.0),,,102.7,102.8,7.08,10.1,4.0,0.06(0.0),(124.0),0.234(0.151),(0.0),0.0,
03/26/2025,Barbossa,50.11(50.0),,,100.3,100.3,7.1,10.09,4.06,0.05(0.0),(124.0),0.13(0.101),(0.0),-0.02,
04/09/2025,Egret,50.124(50.0),,,100.5,100.7,7.13,10.16,4.02,0.42(0.0),(124.0),-0.055(0.038),(0.0),0.1,
05/02/2025,Barbossa,50.027(50.0),,,99.2,99.3,7.08,10.04,4.07,0.04(0.0),(124.0),0.031(0.02),(0.0),0.19,
05/13/2025,Egret,50.158(50.0),,,102.4,102.5,7.15,10.11,4.13,0.0(0.0),(124.0),0.095(0.057),(0.0),0.05,
05/28/2025,Barbossa,50.066(50.0),,,98.7,98.2,7.06,10.03,4.03,0.13(0.0),(124.0),0.036(0.082),(0.0),-0.2,
06/10/2025,Egret,50.02(50.0),,,103.1,103.1,7.17,10.15,4.15,0.24(0.0),(124.0),0.094(0.076),(0.0),0.04,
06/26/2025,Barbossa,49.988(50.0),,,96.6,97.0,7.13,10.11,4.13,0.39(0.0),(124.0),0.027(0.069),(0.0),0.12,
07/09/2025,Egret,50.115(50.0),,,,,7.09,10.07,4.03,0.04(0.0),(124.0),0.187(0.088),(0.0),0.31,
07/25/2025,Barbossa,50.062(50.0),,,101.3,101.4,7.05,9.94,4.03,0.07(0.0),(124.0),0.017(0.069),(0.0),-0.04,
08/06/2025,Egret,49.973(50.0),,,101.7,101.5,7.07,10.04,4.01,0.01(0.0),(124.0),0.015(0.019),(0.0),-0.08,
08/21/2025,Barbossa,50.09(50.0),,,101.4,101.4,7.11,10.11,4.08,0.1(0.0),(124.0),0.054(0.041),(0.0),-0.02,
09/08/2025,Egret,1.113(50.0),,,102.0,102.2,8.55,,,2.15(0.0),(124.0),-0.003(-0.008),(0.0),0.39,
09/25/2025,Barbossa,50.09(50.0),,,102.3,102.2,7.12,10.08,4.09,0.2(0.0),(124.0),0.114(0.063),(0.0),-0.14,
10/07/2025,Egret,(50.0),,,,,,,,(0.0),(124.0),(0.0),(0.0),,
