"DeploymentDateTime","RetrievalDateTime","DatasondeModelNumber","pH.Model.Number","roxDO.Model.Number","Turb.Model.Number","Cond.Model.Number","Chloro.Model.Number"
"01/07/2025, 14:45","01/14/2025, 13:15","EXO2 (Triton) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"01/14/2025, 13:30","01/28/2025, 10:45","EXO2 (Pelican) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"01/28/2025, 11:00","02/11/2025, 14:45","EXO2 (Triton) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"02/11/2025, 15:00","02/26/2025, 11:00","EXO2 (Pelican) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"02/26/2025, 11:15","03/26/2025, 10:15","EXO2 (Triton) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"03/26/2025, 10:30","03/28/2025, 14:30","EXO2 (Pelican) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"03/28/2025, 14:45","04/09/2025, 10:00","EXO2 (Triton) 599090-01","599701","599100-01","599101-01","599827","599103-01"
"04/09/2025, 10:15","04/15/2025, 13:15","EXO2 (Pelican) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"04/15/2025, 13:30","04/24/2025, 09:30","EXO2 (Triton) 599090-01","599701","599100-01","599101-01","599827","599103-01"
"04/24/2025, 09:45","05/15/2025, 09:30","EXO2 (Pelican) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"05/15/2025, 09:45","05/28/2025, 13:15","EXO2 (Triton) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"05/28/2025, 13:30","06/06/2025, 11:30","EXO2 (Pelican) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"06/06/2025, 11:45","06/16/2025, 13:00","EXO2 (Triton) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"06/16/2025, 13:15","06/24/2025, 09:30","EXO2 (Oyster) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"06/24/2025, 09:45","06/27/2025, 11:30","EXO2 (Triton) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"06/27/2025, 11:45","07/09/2025, 11:30","EXO2 (Oyster) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"07/09/2025, 11:45","07/23/2025, 09:30","EXO2 (Triton) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"07/23/2025, 09:45","08/06/2025, 10:45","EXO2 (Oyster) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"08/06/2025, 11:00","08/20/2025, 09:30","EXO2 (Davy Jones) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"08/20/2025, 09:45","09/08/2025, 13:00","EXO2 (Sparrow) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"09/08/2025, 13:15","09/23/2025, 09:30","EXO2 (Davy Jones) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"09/23/2025, 09:45","10/07/2025, 12:30","EXO2 (Sparrow) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"10/07/2025, 12:45","10/21/2025, 09:30","EXO2 (Davy Jones) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"10/21/2025, 09:45","11/05/2025, 12:00","EXO2 (Sparrow) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"11/05/2025, 12:15","11/19/2025, 10:30","EXO2 (Davy Jones) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"11/19/2025, 10:45","12/03/2025, 10:45","EXO2 (Sparrow) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"12/03/2025, 11:15",", ","EXO2 (Davy Jones) 599090-01","577602","599100-01","599101-01","599827","599103-01"
